date,temperature_2m_mean,relativehumidity_2m_mean,precipitation_sum,windspeed_10m_mean,winddirection_10m_mean,comuna,provincia,region,latitud,longitud
2020-01-01,16.191666666666666,86.58333333333333,0.0,8.170833333333333,272.3333333333333,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-02,16.508333333333333,84.08333333333333,0.0,7.558333333333334,260.3333333333333,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-03,18.304166666666667,82.79166666666667,0.0,17.004166666666666,223.16666666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-04,17.804166666666667,74.625,0.0,26.445833333333336,214.41666666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-05,15.158333333333333,72.75,0.0,22.145833333333332,224.45833333333334,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-06,15.4125,75.16666666666667,0.0,15.291666666666666,212.16666666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-07,15.6875,80.16666666666667,0.0,12.266666666666666,243.45833333333334,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-08,14.4375,93.0,12.5,14.825000000000001,250.95833333333334,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-09,14.395833333333334,80.58333333333333,0.0,11.883333333333333,213.08333333333334,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-10,15.929166666666667,74.33333333333333,0.0,17.983333333333334,201.54166666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-11,17.066666666666666,79.75,0.0,12.966666666666667,213.0,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-12,16.849999999999998,85.45833333333333,0.0,11.6875,235.33333333333334,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-13,16.570833333333333,83.45833333333333,0.0,20.591666666666665,221.0,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-14,16.308333333333334,80.20833333333333,0.0,22.724999999999998,216.54166666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-15,15.929166666666667,63.916666666666664,0.0,22.358333333333334,199.875,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-16,19.041666666666668,52.416666666666664,0.0,19.704166666666666,196.25,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-17,17.45,71.91666666666667,0.0,7.341666666666666,264.125,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-18,18.379166666666666,77.08333333333333,0.0,10.758333333333333,215.66666666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-19,17.595833333333335,76.20833333333333,0.0,9.233333333333333,224.91666666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-20,16.6125,78.45833333333333,0.0,9.279166666666667,225.75,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-21,18.7,75.20833333333333,0.0,8.454166666666667,225.25,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-22,17.445833333333333,87.45833333333333,0.0,11.741666666666667,288.25,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-23,15.9,88.45833333333333,0.0,7.8875,230.75,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-24,18.779166666666665,72.08333333333333,0.0,16.787499999999998,206.375,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-25,18.675,74.875,0.0,15.762500000000001,219.16666666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-26,19.479166666666668,78.83333333333333,0.0,16.058333333333334,218.25,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-27,19.754166666666666,66.25,0.0,18.770833333333332,212.95833333333334,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-28,18.083333333333332,78.0,0.0,22.525000000000002,215.875,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-29,16.558333333333334,66.33333333333333,0.0,16.075,211.625,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-30,17.212500000000002,67.625,0.0,12.025,205.04166666666666,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-01-31,18.724999999999998,77.41666666666667,0.0,16.058333333333334,213.5,Concepción,Concepción,Biobío,-36.82699,-73.04977
2020-02-01,17.204166666666666,90.375,0.0,14.516666666666666,228.375,Concepción,Concepción,Biobío,-36.82699,-73.04977
