latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-23.82233,-70.31877,309.56,0.48,0.65,2021-01-01,0502,N,VIIRS,n,2,281.13,3.44,N,2
-23.82344,-70.3142,305.79,0.48,0.64,2021-01-01,0502,N,VIIRS,n,2,280.14,2.24,N,2
-26.43274,-69.47785,318.36,0.38,0.58,2021-01-01,0503,N,VIIRS,n,2,284.49,2.49,N,2
-27.41558,-70.26239,302.54,0.4,0.6,2021-01-01,0503,N,VIIRS,n,2,287.51,1.29,N,2
-32.83125,-70.91658,304.35,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,289.55,21.75,N,0
-32.8304,-70.92004,304.56,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,289.54,12.58,N,0
-32.80106,-70.95154,367,0.33,0.55,2021-01-01,0505,N,VIIRS,h,2,289.86,4.5,N,2
-32.82699,-70.91182,353.14,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,292.96,21.75,N,0
-32.80018,-70.95514,304.58,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,288.18,4.5,N,2
-32.82081,-70.915,303.15,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,288.13,0.79,N,0
-32.8061,-70.95314,306.63,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,287.9,1.13,N,2
-32.82531,-70.91872,367,0.33,0.55,2021-01-01,0505,N,VIIRS,h,2,294.64,12.58,N,0
-32.82614,-70.91533,342.83,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,312.42,21.75,N,0
-32.82436,-70.92265,303.02,0.33,0.55,2021-01-01,0505,N,VIIRS,n,2,290.2,12.58,N,0
-36.86473,-71.3851,302.58,0.56,0.51,2021-01-01,0506,N,VIIRS,n,2,274.32,2.53,N,1
-36.86375,-71.38448,306.11,0.56,0.51,2021-01-01,0506,N,VIIRS,n,2,275.2,1.82,N,1
-37.19104,-72.32571,300.86,0.61,0.53,2021-01-01,0506,N,VIIRS,n,2,288.02,1.58,N,0
-23.8228,-70.313,300.29,0.6,0.7,2021-01-01,0643,N,VIIRS,n,2,284.42,1.16,N,2
-23.82233,-70.31944,299.67,0.6,0.7,2021-01-01,0643,N,VIIRS,n,2,284.72,1.16,N,2
-26.4316,-69.47716,315.65,0.71,0.75,2021-01-01,0644,N,VIIRS,n,2,282.73,3.48,N,2
-32.83026,-70.9094,302.31,0.65,0.73,2021-01-01,0645,N,VIIRS,n,2,288.26,4.65,N,0
-32.82321,-70.91482,299.78,0.64,0.72,2021-01-01,0645,N,VIIRS,n,2,287.45,5.47,N,0
-32.82999,-70.91763,345.7,0.64,0.72,2021-01-01,0645,N,VIIRS,n,2,289.73,5.47,N,0
-32.83025,-70.91089,305.52,0.64,0.72,2021-01-01,0645,N,VIIRS,n,2,288.33,5.74,N,0
-32.83004,-70.9159,345.63,0.64,0.72,2021-01-01,0645,N,VIIRS,n,2,289.59,4.65,N,0
-32.80113,-70.95294,318.17,0.64,0.72,2021-01-01,0645,N,VIIRS,n,2,288.1,2.38,N,2
-37.14603,-72.54621,318.32,0.56,0.69,2021-01-01,0647,N,VIIRS,n,2,287.44,2.55,N,0
-37.15273,-72.54031,332.07,0.56,0.69,2021-01-01,0647,N,VIIRS,n,2,288.21,4.13,N,0
-37.15253,-72.54675,322.2,0.56,0.69,2021-01-01,0647,N,VIIRS,n,2,287.99,4.13,N,0
