latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-23.82454,-70.31362,328.01,0.42,0.38,2022-01-01,0600,N,VIIRS,n,2,289.77,3.92,N,2
-23.78453,-70.31946,308.98,0.42,0.38,2022-01-01,0600,N,VIIRS,n,2,287.57,1.43,N,2
-23.82395,-70.31779,312.61,0.42,0.38,2022-01-01,0600,N,VIIRS,n,2,290.69,3.92,N,2
-26.43453,-69.47672,333.5,0.48,0.4,2022-01-01,0601,N,VIIRS,n,2,283.05,18.93,N,2
-26.43086,-69.47593,301.08,0.48,0.4,2022-01-01,0601,N,VIIRS,n,2,281.46,1.44,N,2
-26.43325,-69.47477,307.13,0.48,0.4,2022-01-01,0601,N,VIIRS,n,2,281.86,14.42,N,2
-26.43264,-69.47942,328.08,0.48,0.4,2022-01-01,0601,N,VIIRS,n,2,281.76,14.42,N,2
-28.47948,-71.24712,303.09,0.43,0.38,2022-01-01,0601,N,VIIRS,n,2,290,0.93,N,2
-32.76178,-71.47948,331.58,0.45,0.39,2022-01-01,0603,N,VIIRS,n,2,286.98,3.29,N,2
-32.80469,-70.95381,315.15,0.48,0.4,2022-01-01,0603,N,VIIRS,n,2,287.03,2.54,N,2
-32.80098,-70.95316,298.11,0.48,0.4,2022-01-01,0603,N,VIIRS,n,2,285.51,0.96,N,2
-34.29475,-71.17928,321.58,0.48,0.4,2022-01-01,0603,N,VIIRS,n,2,287.55,1.87,N,0
-34.294,-71.1856,309.82,0.48,0.4,2022-01-01,0603,N,VIIRS,n,2,285.04,1.87,N,0
-34.16405,-70.702,300.4,0.51,0.41,2022-01-01,0603,N,VIIRS,n,2,285.28,0.84,N,0
-34.10906,-70.45743,330.67,0.52,0.41,2022-01-01,0603,N,VIIRS,n,2,285.06,5.21,N,2
-34.10583,-70.45137,302.61,0.52,0.42,2022-01-01,0603,N,VIIRS,n,2,285.71,2.13,N,2
-34.10518,-70.45703,342.23,0.52,0.41,2022-01-01,0603,N,VIIRS,n,2,288.18,12.21,N,2
-36.74444,-73.12598,296.8,0.43,0.38,2022-01-01,0604,N,VIIRS,n,2,283.77,0.51,N,2
-36.74799,-73.12669,300.74,0.43,0.38,2022-01-01,0604,N,VIIRS,n,2,283.97,0.51,N,2
-37.20825,-73.22739,299.02,0.43,0.38,2022-01-01,0604,N,VIIRS,n,2,284.87,0.98,N,0
-36.74562,-73.12695,332.01,0.5,0.41,2022-01-01,1824,N,VIIRS,l,2,302.88,4.12,D,2
-36.48089,-72.28305,334.97,0.46,0.39,2022-01-01,1824,N,VIIRS,n,2,304.64,4.66,D,0
-36.48027,-72.27782,342.19,0.46,0.39,2022-01-01,1824,N,VIIRS,n,2,306.73,6.95,D,0
